id,y
750000,0.0
750001,0.1
750002,0.0
750003,0.0
750004,0.0
750005,0.0
750006,0.3
750007,0.3
750008,0.0
750009,0.4
750010,0.0
750011,0.0
750012,0.4
750013,0.0
750014,0.1
750015,0.1
750016,0.0
750017,0.0
750018,0.2
750019,0.1
750020,0.1
750021,0.2
750022,0.0
750023,0.0
750024,0.0
750025,0.0
750026,0.5
750027,0.0
750028,0.3
750029,1.0
750030,0.3
750031,0.0
750032,0.0
750033,0.0
750034,0.7
750035,0.0
750036,0.0
750037,0.0
750038,0.0
750039,0.0
750040,0.1
750041,0.0
750042,0.0
750043,0.0
750044,0.1
750045,0.0
750046,0.0
750047,0.0
750048,0.7
750049,0.1
750050,0.0
750051,0.0
750052,0.7
750053,0.0
750054,0.0
750055,0.0
750056,0.0
750057,0.0
750058,0.0
750059,0.0
750060,0.2
750061,0.0
750062,0.0
750063,0.1
750064,0.0
750065,0.0
750066,0.0
750067,0.9
750068,0.0
750069,0.0
750070,0.0
750071,1.0
750072,0.0
750073,0.5
750074,0.0
750075,0.0
750076,0.0
750077,0.0
750078,0.0
750079,0.0
750080,0.0
750081,0.3
750082,0.1
750083,0.0
750084,0.0
750085,0.0
750086,0.0
750087,0.4
750088,0.2
750089,0.1
750090,0.0
750091,0.1
750092,0.0
750093,0.0
750094,0.1
750095,0.9
750096,0.0
750097,0.0
750098,0.0
750099,0.0
750100,0.0
750101,0.2
750102,0.0
750103,0.0
750104,0.0
750105,0.0
750106,0.0
750107,0.0
750108,0.8
750109,0.0
750110,0.0
750111,0.1
750112,0.0
750113,0.0
750114,0.4
750115,0.0
750116,0.0
750117,0.1
750118,0.0
750119,0.7
750120,0.2
750121,0.0
750122,0.2
750123,0.0
750124,0.0
750125,0.0
750126,0.0
750127,0.1
750128,0.0
750129,0.4
750130,0.1
750131,0.0
750132,0.0
750133,0.0
750134,0.0
750135,0.7
750136,0.0
750137,0.0
750138,0.0
750139,0.0
750140,0.0
750141,0.0
750142,0.2
750143,0.0
750144,0.1
750145,0.0
750146,0.1
750147,0.0
750148,0.0
750149,0.1
750150,0.0
750151,1.0
750152,0.0
750153,0.1
750154,0.4
750155,0.8
750156,0.0
750157,0.0
750158,0.0
750159,0.0
750160,0.0
750161,0.0
750162,0.0
750163,0.1
750164,0.2
750165,0.0
750166,0.1
750167,0.0
750168,0.0
750169,0.0
750170,0.0
750171,0.8
750172,0.0
750173,0.5
750174,0.7
750175,0.1
750176,0.0
750177,0.1
750178,0.0
750179,0.8
750180,0.8
750181,0.0
750182,0.0
750183,0.0
750184,0.0
750185,0.0
750186,0.1
750187,0.0
750188,0.0
750189,0.0
750190,0.4
750191,0.0
750192,0.0
750193,0.0
750194,0.0
750195,0.0
750196,0.8
750197,0.0
750198,0.1
750199,0.3
750200,0.0
750201,0.0
750202,0.0
750203,0.0
750204,0.8
750205,0.0
750206,0.0
750207,0.0
750208,0.0
750209,0.0
750210,0.0
750211,0.0
750212,0.0
750213,0.0
750214,0.0
750215,0.0
750216,0.0
750217,0.0
750218,0.0
750219,0.9
750220,0.8
750221,0.0
750222,0.0
750223,0.9
750224,0.0
750225,0.0
750226,0.0
750227,0.0
750228,0.0
750229,0.5
750230,0.4
750231,0.0
750232,0.0
750233,0.0
750234,0.4
750235,0.2
750236,0.0
750237,0.7
750238,0.2
750239,0.8
750240,0.5
750241,0.4
750242,0.0
750243,0.0
750244,0.0
750245,0.0
750246,0.0
750247,0.0
750248,0.2
750249,0.2
750250,0.0
750251,0.2
750252,0.4
750253,0.2
750254,0.0
750255,0.0
750256,0.9
750257,0.0
750258,0.0
750259,0.5
750260,0.1
750261,0.0
750262,0.0
750263,0.0
750264,0.0
750265,0.0
750266,0.0
750267,0.0
750268,0.2
750269,0.0
750270,0.0
750271,0.0
750272,0.2
750273,0.0
750274,0.0
750275,0.0
750276,0.0
750277,0.0
750278,0.8
750279,0.0
